State	C2010	C2011	C2012	C2013	C2014	Energy
MD	51683	49917	49822	54874	53814	Biomass
MA	59866	59074	57348	60267	61735	Biomass
MI	129422	140472	140729	148084	150125	Biomass
MN	163181	155130	150916	148505	162992	Biomass
MS	71310	71184	84165	70216	71994	Biomass
MO	69261	66131	62496	71490	74839	Biomass
MT	14644	7601	7601	8632	8888	Biomass
NE	109887	116589	107042	107097	102397	Biomass
NV	9739	9375	9154	10021	10681	Biomass
NH	33502	33745	35301	40393	43200	Biomass
NJ	64370	62752	61003	65208	67456	Biomass
NM	17663	17054	16179	17990	17189	Biomass
NY	120168	124402	122513	129687	134792	Biomass
NC	134325	141002	142163	148324	145560	Biomass
ND	25305	27145	25455	26067	26745	Biomass
OH	110645	115650	115615	126808	129920	Biomass
OK	39320	39133	41310	42616	42870	Biomass
OR	59498	57460	61814	71299	72449	Biomass
PA	132240	143718	141507	154219	148961	Biomass
RI	6691	6265	5609	5458	7068	Biomass
SC	101716	111632	117091	113934	122321	Biomass
SD	63943	62472	58812	61515	62730	Biomass
TN	91516	91048	96477	98518	101449	Biomass
TX	179840	205461	200181	197910	214603	Biomass
UT	7712	9209	9560	10581	10562	Biomass
VT	19041	17194	16070	20794	20279	Biomass
VA	119506	116144	118265	132138	150362	Biomass
WA	115340	114621	112884	119013	121119	Biomass
WV	25598	25409	24257	30008	30091	Biomass
WI	137892	136188	133110	134199	136809	Biomass
WY	3330	3974	4165	4694	4566	Biomass
DC	1027	1028	819	855	920	Biomass
AL	1785688	1783839	1740315	1689491	1724891	FossFuel
AK	634777	635981	629768	600660	581369	FossFuel
AZ	1292346	1253992	1248032	1289119	1256577	FossFuel
AR	909827	932878	918078	936796	939788	FossFuel
CA	5741492	5550201	5687343	5755210	5702418	FossFuel
CO	1370758	1304903	1282352	1303825	1313834	FossFuel
CT	562060	557282	544358	560141	559695	FossFuel
DE	171414	201518	221203	213411	213655	FossFuel
FL	3491560	3357837	3327632	3273949	3350291	FossFuel
GA	2324200	2142535	1946907	1928374	1985059	FossFuel
HI	259018	265505	256754	252836	250786	FossFuel
ID	250946	247718	248082	270907	260704	FossFuel
IL	3225698	3212010	3044403	3266060	3304158	FossFuel
IN	2770123	2712351	2562415	2632450	2709827	FossFuel
IA	1187456	1155743	1092732	1125533	1137920	FossFuel
KS	997849	970721	913457	963626	965093	FossFuel
KY	1874296	1846216	1735259	1737960	1754132	FossFuel
LA	3974821	4015581	3886754	3785289	3810396	FossFuel
ME	277354	268118	244896	253371	252829	FossFuel
MD	963419	900614	857053	847590	878993	FossFuel
MA	1107941	1073354	982397	1030817	1011008	FossFuel
MI	2305457	2253650	2186354	2304114	2329372	FossFuel
MN	1337325	1329595	1281593	1328816	1385193	FossFuel
MS	999309	944952	989634	942046	982217	FossFuel
MO	1721620	1719891	1623633	1689057	1694147	FossFuel
MT	447231	422616	405716	422138	423897	FossFuel
NE	666348	690557	668116	705960	691958	FossFuel
NV	577325	529486	548427	569355	568174	FossFuel
NH	242475	242846	224415	214922	225508	FossFuel
NJ	1772767	1794240	1647100	1704155	1799165	FossFuel
NM	737539	768020	745336	741402	711338	FossFuel
NY	2733286	2620842	2593481	2629451	2747588	FossFuel
NC	1869784	1704725	1654828	1734549	1761282	FossFuel
ND	622237	652742	678850	701050	723128	FossFuel
OH	3304252	3188336	2984206	3170468	3208044	FossFuel
OK	1571983	1576848	1567142	1537652	1543910	FossFuel
OR	628380	572458	575060	608017	588438	FossFuel
PA	3469617	3412240	3324396	3472175	3486721	FossFuel
RI	184732	185371	178036	171472	178774	FossFuel
SC	1124533	1077992	1012652	975757	1021676	FossFuel
SD	226232	218924	225164	231578	230463	FossFuel
TN	1461432	1427048	1355061	1344036	1411675	FossFuel
TX	10741110	10979933	11054960	11616497	11752655	FossFuel
UT	847682	858627	829676	897843	875384	FossFuel
VT	90299	88836	84141	89119	90377	FossFuel
VA	1535604	1431388	1432460	1512226	1500290	FossFuel
WA	1115899	1042446	1049562	1113069	1092335	FossFuel
WV	1165405	1138906	1083056	1113141	1163308	FossFuel
